Calendar Year,Scenario,Fuel Type,Output, Value 
2029,First Mover Advantage,Hydroelectric,Generation_MWh," 1,894,565 "
2029,First Mover Advantage,Net Imports,Generation_MWh," 1,909,394 "
2029,First Mover Advantage,Combined-Cycle with CCUS,Generation_MWh," 9,415,601 "
2029,First Mover Advantage,Hydrogen Simple Cycle,Generation_MWh, -   
2029,First Mover Advantage,Other,Generation_MWh," 2,576,220 "
2029,First Mover Advantage,Natural Gas Simple-Cycle,Generation_MWh," 2,295,194 "
2029,First Mover Advantage,Solar,Generation_MWh," 4,226,933 "
2029,First Mover Advantage,Storage - Battery,Generation_MWh, -   
2029,First Mover Advantage,Wind,Generation_MWh," 17,374,046 "
2030,First Mover Advantage,Natural Gas Combined-Cycle,Generation_MWh," 5,236,245 "
2030,First Mover Advantage,Cogeneration,Generation_MWh," 43,696,381 "
2030,First Mover Advantage,Coal to Gas - Steam Boiler,Generation_MWh," 1,692,918 "
2030,First Mover Advantage,Hydroelectric,Generation_MWh," 1,893,781 "
2030,First Mover Advantage,Net Imports,Generation_MWh," 2,264,700 "
2030,First Mover Advantage,Combined-Cycle with CCUS,Generation_MWh," 9,344,030 "
2030,First Mover Advantage,Hydrogen Simple Cycle,Generation_MWh," 1,282,881 "
2030,First Mover Advantage,Other,Generation_MWh," 2,619,102 "
2030,First Mover Advantage,Natural Gas Simple-Cycle,Generation_MWh," 2,220,131 "
2030,First Mover Advantage,Solar,Generation_MWh," 4,227,512 "
2030,First Mover Advantage,Storage - Battery,Generation_MWh, -   
2030,First Mover Advantage,Wind,Generation_MWh," 19,401,990 "
2031,First Mover Advantage,Natural Gas Combined-Cycle,Generation_MWh," 4,518,718 "
2031,First Mover Advantage,Cogeneration,Generation_MWh," 44,314,264 "
2031,First Mover Advantage,Coal to Gas - Steam Boiler,Generation_MWh," 1,378,164 "
2031,First Mover Advantage,Hydroelectric,Generation_MWh," 1,882,890 "
2031,First Mover Advantage,Net Imports,Generation_MWh," 2,017,466 "
2031,First Mover Advantage,Combined-Cycle with CCUS,Generation_MWh," 9,133,244 "
2031,First Mover Advantage,Hydrogen Simple Cycle,Generation_MWh," 2,131,694 "
2031,First Mover Advantage,Other,Generation_MWh," 2,579,701 "
2031,First Mover Advantage,Natural Gas Simple-Cycle,Generation_MWh," 1,539,395 "
